# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
56229.65527 56236.65527 2.45588e-12 2.41194e-14 -0.00017
56236.65527 56243.65527 2.81805e-08 1.50894e-08 7.79316
56243.65527 56250.65527 1.15131e-08 1.34409e-08 1.18224
56250.65527 56257.65527 5.81875e-09 1.16907e-08 0.31977
56257.65527 56264.65527 1.50383e-08 1.48763e-08 1.49295
56264.65527 56271.65527 2.45588e-12 7.66278e-14 -0.00001
56271.65527 56278.65527 1.34042e-08 1.28392e-08 1.88188
56278.65527 56285.65527 1.24333e-08 1.63997e-08 0.79789
56285.65527 56292.65527 4.63756e-11 1.47784e-09 0.00002
56292.65527 56299.65527 2.04873e-08 1.74093e-08 2.12862
56299.65527 56306.65527 1.60672e-08 1.34774e-08 2.97835
56306.65527 56313.65527 3.19900e-08 2.02397e-08 4.13148
56313.65527 56320.65527 2.45588e-12 1.03579e-14 -0.00044
56320.65527 56327.65527 3.04582e-08 1.76126e-08 8.02276
56327.65527 56334.65527 1.07753e-07 2.70254e-08 62.74680
56334.65527 56341.65527 1.44294e-07 2.78878e-08 97.66910
56341.65527 56348.65527 1.56747e-07 2.90842e-08 90.50860
56348.65527 56355.65527 4.43591e-08 1.95044e-08 10.42210
56355.65527 56362.65527 5.87329e-08 2.45422e-08 16.58780
56362.65527 56369.65527 1.47910e-07 3.15932e-08 64.01800
56369.65527 56376.65527 1.41461e-07 3.15735e-08 59.46410
56376.65527 56383.65527 1.37952e-07 3.23974e-08 50.27890
56383.65527 56390.65527 1.03655e-07 2.45979e-08 57.43110
56390.65527 56397.65527 9.91461e-08 2.34198e-08 63.35650
56397.65527 56404.65527 4.14988e-08 1.96458e-08 10.62880
56404.65527 56411.65527 4.41468e-08 1.89717e-08 15.09850
56411.65527 56418.65527 1.18558e-07 2.91739e-08 49.81660
56418.65527 56425.65527 9.00056e-08 3.12312e-08 18.90380
56425.65527 56432.65527 2.45588e-12 3.67335e-14 -0.00030
56432.65527 56439.65527 3.42234e-08 1.77536e-08 12.26520
56439.65527 56446.65527 2.87149e-08 2.02777e-08 3.24413
56446.65527 56453.65527 2.92385e-08 1.92573e-08 3.62004
56453.65527 56460.65527 4.83360e-08 1.97590e-08 13.52330
56460.65527 56467.65527 1.17700e-08 1.58458e-08 0.78770
56467.65527 56474.65527 3.14603e-08 1.83905e-08 5.24673
56474.65527 56481.65527 5.18269e-08 2.44664e-08 10.06140
56481.65527 56488.65527 1.85014e-08 2.15658e-08 1.08097
56488.65527 56495.65527 5.85773e-09 1.43841e-08 0.21223
56495.65527 56502.65527 1.66760e-08 1.25739e-08 4.34896
56502.65527 56509.65527 6.69959e-08 2.39233e-08 19.59790
56509.65527 56516.65527 3.47087e-08 1.72889e-08 12.64840
56516.65527 56523.65527 4.01376e-08 2.09876e-08 10.77350
56523.65527 56530.65527 2.45588e-12 1.02522e-14 -0.00040
56530.65527 56537.65527 5.34360e-08 2.46093e-08 9.00600
56537.65527 56544.65527 2.89165e-08 1.56830e-08 10.68660
56544.65527 56551.65527 2.45588e-12 1.89731e-15 -0.00025
56551.65527 56558.65527 5.28483e-08 2.14801e-08 14.60770
56558.65527 56565.65527 1.35941e-08 1.72799e-08 0.76857
